Dent 1994,0028337366
Fiocca 2012,84867574793
Gough 1996,0030035185
Hallerback 1994,0027987155
Johnson+Vakil,0037973525
Johnson 2001,0035137990
Lundell 1999,0032815339
Vakil 2001,0034949404
